id,area,workflow_stage,publication_type,journal_or_venue,year,short_citation,core_idea,why_it_matters_for_this_repo,method_signal,researcher_action,url
"card_2015_media_frames","media-frame annotation","annotation_design","conference_resource","ACL Anthology","2015","Card, D. et al. 2015. The Media Frames Corpus.","Annotated frame corpora can connect qualitative frame theory with computational analysis.","Informs the codebook and possible supervised frame-classification extensions.","annotated frame dataset","Use it as a design reference for label hierarchy and annotation documentation.","https://aclanthology.org/P15-2072/"
"mohammad_2016_stance","stance detection","modeling","conference_resource","ACL Anthology","2016","Mohammad, S. et al. 2016. SemEval-2016 Task 6: Detecting Stance in Tweets.","Stance can be modeled as a target-sensitive relation rather than simple sentiment.","Useful for separating attitudes toward China BRI ASEAN governance and risk.","target-specific stance","Define stance targets explicitly before coding or modeling.","https://aclanthology.org/S16-1003/"
"kucuk_can_2020_stance_survey","stance detection","literature_review","review_article","ACM Computing Surveys","2020","Kucuk, D. and Can, F. 2020. Stance Detection: A Survey.","Stance detection covers targets domains methods and evaluation settings that differ from sentiment analysis.","Provides a journal-backed map for future stance-modeling extensions.","survey synthesis","Use the survey to choose target definition dataset design and evaluation measures.","https://doi.org/10.1145/3369026"
"aldayel_magdy_2021_stance_review","stance detection","literature_review","review_article","Information Processing and Management","2021","Aldayel, A. and Magdy, W. 2021. Stance detection on social media: State of the art and trends.","Stance-detection design choices vary by target granularity domain and data source.","Helps avoid importing social-media assumptions uncritically into news analysis.","review synthesis","Adapt stance categories to news discourse instead of treating positivity as stance.","https://doi.org/10.1016/j.ipm.2021.102597"
"saha_2024_credibility_stance","stance and verification","modeling","journal_article","Computational Linguistics","2024","Saha, S. et al. 2024. The Role of Stance in Assessing the Veracity of Claims.","Stance is useful for credibility work when evidence and source relations are modeled carefully.","Connects stance to evidence evaluation without collapsing it into sentiment.","stance-evidence relation","If adding claim analysis record who supports denies questions or reports each claim.","https://doi.org/10.1162/coli_a_00501"
"pareti_2016_quote_attribution","quote attribution","source_attribution","conference_resource","ACL Anthology","2016","Pareti, S. et al. 2016. Automatically Detecting and Attributing Indirect Quotations.","Quotation and reported speech can be computationally detected and linked to sources.","Useful for studying how judgments are outsourced to experts institutions and documents.","quotation attribution","Annotate direct and indirect reported speech before making claims about source-mediated evaluation.","https://aclanthology.org/L16-1615/"
"niu_relly_2021_bri_framing","BRI media framing","domain_context","journal_article","Newspaper Research Journal","2021","Niu, C. and Relly, J. E. 2021. News from China: News framing of the Belt and Road Initiative.","BRI coverage can be studied as a framing problem across news sources and geopolitical contexts.","Provides a domain-specific model for BRI frame analysis.","BRI frame comparison","Use BRI-specific frames alongside general media-frame theory.","https://doi.org/10.1177/07395329211018864"
"flint_zhu_2019_bri_geopolitics","BRI geopolitical context","domain_context","journal_article","Geoforum","2019","Flint, C. and Zhu, C. 2019. The geopolitics of connectivity cooperation and hegemonic competition.","BRI discourse sits within tensions between connectivity cooperation and hegemonic competition.","Supports the development-platform versus strategic-contestation frame distinction.","geopolitical framing","Treat infrastructure and strategy as co-present frames rather than mutually exclusive categories.","https://doi.org/10.1016/j.geoforum.2018.12.008"
"chang_2022_wedge_strategy","BRI geopolitical context","domain_context","journal_article","International Studies Quarterly","2022","Chang, D. 2022. Sowing the Seeds of Discord.","BRI can be interpreted through international-relations mechanisms such as wedge strategy and geopolitical alignment.","Helps contextualize strategic-contestation language in media coverage.","IR mechanism","Use IR literature to interpret strategic frame labels cautiously.","https://doi.org/10.1093/isq/sqac034"
"shekhar_2012_asean_hedging","ASEAN and hedging","domain_context","journal_article","China Report","2012","Shekhar, V. 2012. ASEAN's Response to the Rise of China.","ASEAN states often mix engagement balancing and hedging responses toward China.","Useful background for interpreting cautious opportunity frames in Southeast Asian media.","regional strategy","Connect textual caution to regional hedging literature without assuming one-to-one policy reflection.","https://doi.org/10.1177/0009445512462314"
